#TYPE Microsoft.Azure.Management.Compute.Models.ResourceSkuCapabilities
"vmName","Name","Value"
"Standard_A1_v2","RdmaEnabled","False"
"Standard_A1_v2","MaxNetworkInterfaces","2"
"Standard_A2","MaxResourceVolumeMB","138240"
"Standard_A2","OSVhdSizeMB","1047552"
"Standard_A2","vCPUs","2"
"Standard_A2","MemoryPreservingMaintenanceSupported","True"
"Standard_A2","HyperVGenerations","V1"
"Standard_A2","MemoryGB","3.5"
"Standard_A2","MaxDataDiskCount","4"
"Standard_A2","CpuArchitectureType","x64"
"Standard_A2","LowPriorityCapable","True"
"Standard_A2","PremiumIO","False"
"Standard_A2","VMDeploymentTypes","IaaS,PaaS"
"Standard_A2","vCPUsAvailable","2"
"Standard_A2","ACUs","100"
"Standard_A2","vCPUsPerCore","1"
"Standard_A2","EphemeralOSDiskSupported","False"
"Standard_A2","EncryptionAtHostSupported","False"
"Standard_A2","CapacityReservationSupported","False"
"Standard_A2","AcceleratedNetworkingEnabled","False"
"Standard_A2","RdmaEnabled","False"
"Standard_A2","MaxNetworkInterfaces","2"
"Standard_A2m_v2","MaxResourceVolumeMB","20480"
"Standard_A2m_v2","OSVhdSizeMB","1047552"
"Standard_A2m_v2","vCPUs","2"
"Standard_A2m_v2","MemoryPreservingMaintenanceSupported","True"
"Standard_A2m_v2","HyperVGenerations","V1"
"Standard_A2m_v2","MemoryGB","16"
"Standard_A2m_v2","MaxDataDiskCount","4"
"Standard_A2m_v2","CpuArchitectureType","x64"
"Standard_A2m_v2","LowPriorityCapable","True"
"Standard_A2m_v2","PremiumIO","False"
"Standard_A2m_v2","VMDeploymentTypes","IaaS,PaaS"
"Standard_A2m_v2","vCPUsAvailable","2"
"Standard_A2m_v2","ACUs","100"
"Standard_A2m_v2","vCPUsPerCore","1"
"Standard_A2m_v2","CombinedTempDiskAndCachedIOPS","2000"
"Standard_A2m_v2","CombinedTempDiskAndCachedReadBytesPerSecond","41943040"
"Standard_A2m_v2","CombinedTempDiskAndCachedWriteBytesPerSecond","20971520"
"Standard_A2m_v2","EphemeralOSDiskSupported","False"
"Standard_A2m_v2","EncryptionAtHostSupported","False"
"Standard_A2m_v2","CapacityReservationSupported","False"
"Standard_A2m_v2","AcceleratedNetworkingEnabled","False"
"Standard_A2m_v2","RdmaEnabled","False"
"Standard_A2m_v2","MaxNetworkInterfaces","2"
"Standard_A2_v2","MaxResourceVolumeMB","20480"
"Standard_A2_v2","OSVhdSizeMB","1047552"
"Standard_A2_v2","vCPUs","2"
"Standard_A2_v2","MemoryPreservingMaintenanceSupported","True"
"Standard_A2_v2","HyperVGenerations","V1"
"Standard_A2_v2","MemoryGB","4"
"Standard_A2_v2","MaxDataDiskCount","4"
"Standard_A2_v2","CpuArchitectureType","x64"
"Standard_A2_v2","LowPriorityCapable","True"
"Standard_A2_v2","PremiumIO","False"
"Standard_A2_v2","VMDeploymentTypes","IaaS,PaaS"
"Standard_A2_v2","vCPUsAvailable","2"
"Standard_A2_v2","ACUs","100"
"Standard_A2_v2","vCPUsPerCore","1"
"Standard_A2_v2","CombinedTempDiskAndCachedIOPS","2000"
"Standard_A2_v2","CombinedTempDiskAndCachedReadBytesPerSecond","41943040"
"Standard_A2_v2","CombinedTempDiskAndCachedWriteBytesPerSecond","20971520"
"Standard_A2_v2","EphemeralOSDiskSupported","False"
"Standard_A2_v2","EncryptionAtHostSupported","False"
"Standard_A2_v2","CapacityReservationSupported","False"
"Standard_A2_v2","AcceleratedNetworkingEnabled","False"
"Standard_A2_v2","RdmaEnabled","False"
"Standard_A2_v2","MaxNetworkInterfaces","2"
"Standard_A3","MaxResourceVolumeMB","291840"
"Standard_A3","OSVhdSizeMB","1047552"
"Standard_A3","vCPUs","4"
"Standard_A3","MemoryPreservingMaintenanceSupported","True"
"Standard_A3","HyperVGenerations","V1"
"Standard_A3","MemoryGB","7"
"Standard_A3","MaxDataDiskCount","8"
"Standard_A3","CpuArchitectureType","x64"
"Standard_A3","LowPriorityCapable","True"
"Standard_A3","PremiumIO","False"
"Standard_A3","VMDeploymentTypes","IaaS,PaaS"
"Standard_A3","vCPUsAvailable","4"
"Standard_A3","ACUs","100"
"Standard_A3","vCPUsPerCore","1"
"Standard_A3","EphemeralOSDiskSupported","False"
"Standard_A3","EncryptionAtHostSupported","False"
"Standard_A3","CapacityReservationSupported","False"
"Standard_A3","AcceleratedNetworkingEnabled","False"
"Standard_A3","RdmaEnabled","False"
"Standard_A3","MaxNetworkInterfaces","2"
"Standard_A4","MaxResourceVolumeMB","619520"
"Standard_A4","OSVhdSizeMB","1047552"
"Standard_A4","vCPUs","8"
"Standard_A4","MemoryPreservingMaintenanceSupported","True"
"Standard_A4","HyperVGenerations","V1"
"Standard_A4","MemoryGB","14"
"Standard_A4","MaxDataDiskCount","16"
"Standard_A4","CpuArchitectureType","x64"
"Standard_A4","LowPriorityCapable","True"
"Standard_A4","PremiumIO","False"
"Standard_A4","VMDeploymentTypes","IaaS,PaaS"
"Standard_A4","vCPUsAvailable","8"
"Standard_A4","ACUs","100"
"Standard_A4","vCPUsPerCore","1"
"Standard_A4","EphemeralOSDiskSupported","False"
"Standard_A4","EncryptionAtHostSupported","False"
"Standard_A4","CapacityReservationSupported","False"
"Standard_A4","AcceleratedNetworkingEnabled","False"
"Standard_A4","RdmaEnabled","False"
"Standard_A4","MaxNetworkInterfaces","4"
"Standard_A4m_v2","MaxResourceVolumeMB","40960"
"Standard_A4m_v2","OSVhdSizeMB","1047552"
"Standard_A4m_v2","vCPUs","4"
"Standard_A4m_v2","MemoryPreservingMaintenanceSupported","True"
"Standard_A4m_v2","HyperVGenerations","V1"
"Standard_A4m_v2","MemoryGB","32"
"Standard_A4m_v2","MaxDataDiskCount","8"
"Standard_A4m_v2","CpuArchitectureType","x64"
"Standard_A4m_v2","LowPriorityCapable","True"
"Standard_A4m_v2","PremiumIO","False"
"Standard_A4m_v2","VMDeploymentTypes","IaaS,PaaS"
"Standard_A4m_v2","vCPUsAvailable","4"
"Standard_A4m_v2","ACUs","100"
"Standard_A4m_v2","vCPUsPerCore","1"
"Standard_A4m_v2","CombinedTempDiskAndCachedIOPS","4000"
"Standard_A4m_v2","CombinedTempDiskAndCachedReadBytesPerSecond","83886080"
"Standard_A4m_v2","CombinedTempDiskAndCachedWriteBytesPerSecond","41943040"
"Standard_A4m_v2","EphemeralOSDiskSupported","False"
"Standard_A4m_v2","EncryptionAtHostSupported","False"
"Standard_A4m_v2","CapacityReservationSupported","False"
"Standard_A4m_v2","AcceleratedNetworkingEnabled","False"
"Standard_A4m_v2","RdmaEnabled","False"
"Standard_A4m_v2","MaxNetworkInterfaces","4"
"Standard_A4_v2","MaxResourceVolumeMB","40960"
"Standard_A4_v2","OSVhdSizeMB","1047552"
"Standard_A4_v2","vCPUs","4"
"Standard_A4_v2","MemoryPreservingMaintenanceSupported","True"
"Standard_A4_v2","HyperVGenerations","V1"
"Standard_A4_v2","MemoryGB","8"
"Standard_A4_v2","MaxDataDiskCount","8"
